Component URL,System,Contact,Notes,System Status,Platform,ATO Folder,ATO Artifacts,ATO Type,ATO Level,ATO Expiration Date,ATO Expires,Authorizing Official,TTS Owner,System Owner,Technical Contact (mailing list preferred),Team Shared Email ,Slack channel,Project Mgmt Tracker,Partner Agency,GSA External Stakeholder,Mastersheet Unique ID,Origin sheet Unique ID,Sheet Name,FINAL?,SaaS?
1.usa.gov,usa.gov,,,Production,CMP,,,,,,,,FAS/TTS/OPP,john.yuda@gsa.gov,,,,,,,56EAFC1F,F1653559,Copy of GSA site inventory TTS 1,Y,N
10x.gsa.gov,10x.gsa.gov,william.cahoe@gsa.gov,,Production,federalist.18.gov,,,,,,,,FAS/TTS/OPP,sarah.crane@gsa.gov,,,,,,,E11342D2,1187E76F,Copy of GSA site inventory TTS 2,Y,N
18f.domains.api.data.gov,api.data.gov,,,Deprecated,cloud.gov,,,,,,,,,,,,,,,,,,,,
18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,,,,,,,,,01D5307E,9A120E09,Copy of LI SaaS Projects (Working Doc) Suspended,N,N
18f.gsa.gov,18f.gov,,,Production,federalist.18.gov,TBD,,TBD,Low,TBD,,,FAS/TTS/18F,dahianna.salazarforeman@gsa.gov,,,,TBD,18F,No,DB6BDCD2,83FA03FE,Copy of TTS ATOs New and Renewals DEPRECATED,Y,N
18franklin.18f.gov,18f.gov,,,Deprecated,,,,,,,,,,,,,,,,,7F4AF126,47C29242,Copy of ATO/System Tracking Index Federalist Sites,Y,N
aapi.data.gov,api.data.gov,,,Deprecated,,,,,,,,,,,,,,,,,,,,,
accessibility.18f.gov,18f.gov,,,Production,federalist.18.gov,,,,,,,,,,,,,,,,54E3EA2B,98F6AC51,Copy of ATO/System Tracking Index Federalist Sites,N,N
accessibility.digital.gov,digital.gov,digitalgov-team@gsa.gov,,Production,federalist.18.gov,,,,,,,,,,,,,,,,,,,,
acqstack-journeymap.18f.gov,18f.gov,,,Deprecated,federalist.18.gov,,,,,,,,,,,,,,,,27F41E4C,FCC74A09,Copy of ATO/System Tracking Index Federalist Sites,N,N
